skill,capability,owner,primary_hosts,branch_hashes,drift_type,recommendation,notes
FORGE-subagent-spawn,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""1b6000431bc2b25f"", ""AAA"": ""c641fb7fb902b513""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
PETRONAS-intelligence-router,ROUTING,OPENCLAW,HERMES|KIMI,"{""HERMES"": ""e1bb0783ab777c37"", ""KIMI"": ""591d4ee24b61b1d2""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
fi-qwen-upgrade,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""14f749efc9bce3d9"", ""AAA"": ""398a567498066612""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
federation-connect-headscale,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""68eca6429f229eee"", ""AAA"": ""1adae220956c1d24""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
cognitive-commands,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""379958922d01e7f1"", ""AAA"": ""c7e2fa912126ca38""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-cross-repo-doc-zen,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""d250bc3790e0b793"", ""AAA"": ""1e45b79d47358537""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-vault999-witness,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""c728d5926becd42a"", ""AAA"": ""99efcce1286ebc56""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
RSI-federation-mesh,ROUTING,OPENCLAW,HERMES|AAA,"{""HERMES"": ""ca7bf203b0f23b46"", ""AAA"": ""8f43ae58f1d3b4fc""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-governance-jsonld,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""fbe44f1636008b7e"", ""AAA"": ""2609f73c3f5be25b""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
imagine,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""d8b2a74587c91b79"", ""AAA"": ""2e99c07d67bc3b40""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-nextjs-mastery,CODING,A2M,HERMES|AAA,"{""HERMES"": ""d5667d95d2a8468b"", ""AAA"": ""18d0758cfc855742""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
